,,"MOTILAL OSWAL FINANCIAL SERVICES LTD           Mcap 49,379 Cr        CMP 824.0",,,,,,,,,,,,,,,
INR Cr,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26 e,Mar-27 e,Mar-28 e,22-25       3Y CAGR,25-27          2Y CAGR,25-28          3Y CAGR,,,Particulars,FY22A,FY23A,FY24E,FY25E
Revenue ,"4,298","4,178","7,106","8,340","10,402","12,973","16,181",24.7%,24.7%,24.7%,,,Net Revenue,"7,106","8,340","10,402","12,973"
EBITDA,"2,120","1,877","4,082","4,546","5,439","6,784","8,462",28.9%,22.2%,23.0%,,,% Chg y-o-y,70%,17%,25%,25%
EBITDA Margin,49.3%,44.9%,57.4%,54.5%,52.3%,52.3%,52.3%,,,,,,EBITDA,"4,082","4,546","5,439","6,784"
PAT,"1,310",932,"2,441","2,502","3,066","3,983","5,128",24.1%,26.2%,27.0%,,,EBITDA Margin (%),57.4%,54.5%,52.3%,52.3%
PAT Margin ,30.5%,22.3%,34.4%,30.0%,29.5%,30.7%,31.7%,,,,,,Net Profit,"2,441","2,502","3,066","3,983"
EPS,22.0,15.7,41.0,41.7,51.2,66.5,85.6,23.9%,26.2%,27.0%,,,EPS (RS),41.0,41.7,51.2,66.5
BVPS,95.2,105.6,146.5,184.9,229.8,288.2,363.4,24.8%,24.9%,25.3%,,,EPS % Chg,160%,2%,23%,30%
PE,37.5,52.3,20.1,19.7,16.1,12.4,9.6,,,,,,P/E (X),20.1,19.7,16.1,12.4
P/B,8.7,7.8,5.6,4.5,3.6,2.9,2.3,,,,,,EV/EBITDA(X),9.5,11.4,12.7,10.5
EV/EBITDA,9.0,10.3,9.5,11.4,12.7,10.5,8.8,,,,,,P/BV,5.6,4.5,3.6,2.9
RoE,23%,15%,28%,23%,22%,23%,24%,,,,,,BV/SHARE,146.5,184.9,229.8,288.2
RoCE,19%,13%,21%,19%,18%,18%,19%,,,,,,ROE,28%,23%,22%,23%
RoIC,92%,78%,119%,87%,35%,24%,24%,,,,,,ROCE,21%,19%,18%,18%
WC Sales %,158%,270%,217%,193%,227%,227%,227%,,,,,,,,,,
OCF / EBITDA,48%,-163%,-9%,27%,-53%,-3%,-3%,,,,,,,,,,
